decade,ecoregion,tree_bins,n,frac
2010s,S Great Plains,5-10,71,0.08462455303933254
1980s,S Great Plains,10-20,74,0.08820023837902265
1990s,S Great Plains,10-20,66,0.07866507747318235
2000s,S Great Plains,10-20,59,0.07032181168057211
2010s,S Great Plains,10-20,75,0.08939213349225268
1980s,S Great Plains,>20,38,0.04529201430274136
1990s,S Great Plains,>20,48,0.057210965435041714
2000s,S Great Plains,>20,50,0.05959475566150179
2010s,S Great Plains,>20,61,0.07270560190703218
1980s,S Great Plains,NA,2,0.0023837902264600714
1990s,S Great Plains,NA,2,0.0023837902264600714
2000s,S Great Plains,NA,5,0.0059594755661501785
2010s,S Great Plains,NA,1,0.0011918951132300357
1980s,W Cold Deserts,0-1,1896,0.5462402765773552
1990s,W Cold Deserts,0-1,1922,0.5537309132814751
2000s,W Cold Deserts,0-1,1942,0.5594929415154134
2010s,W Cold Deserts,0-1,1685,0.4854508787093057
1980s,W Cold Deserts,1-2,377,0.10861423220973783
1990s,W Cold Deserts,1-2,343,0.09881878421204264
2000s,W Cold Deserts,1-2,321,0.09248055315471046
2010s,W Cold Deserts,1-2,394,0.11351195620858542
1980s,W Cold Deserts,2-5,460,0.13252664938058195
1990s,W Cold Deserts,2-5,468,0.1348314606741573
2000s,W Cold Deserts,2-5,430,0.12388360702967445
2010s,W Cold Deserts,2-5,480,0.13828867761452032
1980s,W Cold Deserts,5-10,335,0.0965139729184673
1990s,W Cold Deserts,5-10,320,0.09219245174301353
2000s,W Cold Deserts,5-10,330,0.09507346585998272
2010s,W Cold Deserts,5-10,350,0.10083549409392106
1980s,W Cold Deserts,10-20,297,0.08556611927398444
1990s,W Cold Deserts,10-20,306,0.0881590319792567
2000s,W Cold Deserts,10-20,306,0.0881590319792567
2010s,W Cold Deserts,10-20,353,0.10169979832901181
1980s,W Cold Deserts,>20,103,0.029674445404782483
1990s,W Cold Deserts,>20,111,0.03197925669835782
2000s,W Cold Deserts,>20,140,0.040334197637568424
2010s,W Cold Deserts,>20,208,0.0599250936329588
1980s,W Cold Deserts,NA,3,8.64304235090752e-4
1990s,W Cold Deserts,NA,1,2.881014116969173e-4
2000s,W Cold Deserts,NA,2,5.762028233938346e-4
2010s,W Cold Deserts,NA,1,2.881014116969173e-4
1980s,Warm Deserts,0-1,103,0.08795900939368062
1990s,Warm Deserts,0-1,475,0.40563620836891545
2000s,Warm Deserts,0-1,680,0.5807002561912895
2010s,Warm Deserts,0-1,466,0.39795046968403075
1980s,Warm Deserts,1-2,352,0.300597779675491
1990s,Warm Deserts,1-2,340,0.29035012809564475
2000s,Warm Deserts,1-2,265,0.22630230572160548
2010s,Warm Deserts,1-2,366,0.3125533731853117
1980s,Warm Deserts,2-5,564,0.4816396242527754
1990s,Warm Deserts,2-5,264,0.22544833475661827
2000s,Warm Deserts,2-5,183,0.15627668659265584
2010s,Warm Deserts,2-5,239,0.2040990606319385
1980s,Warm Deserts,5-10,132,0.11272416737830913
1990s,Warm Deserts,5-10,81,0.06917164816396243
2000s,Warm Deserts,5-10,39,0.033304867634500426
2010s,Warm Deserts,5-10,92,0.07856532877882152
1980s,Warm Deserts,10-20,20,0.017079419299743808
1990s,Warm Deserts,10-20,10,0.008539709649871904
2000s,Warm Deserts,10-20,3,0.0025619128949615714
2010s,Warm Deserts,10-20,8,0.006831767719897523
1990s,Warm Deserts,>20,1,8.539709649871904e-4
2000s,Warm Deserts,>20,1,8.539709649871904e-4
